image1L,image1R,image2L,image2R,imageCuedProbe,scramble1L,scramble1R,scramble2L,scramble2R,cuedType,uncuedType,cue,probeCorrect,buttonCorrect,arrow,run,imageUncuedProbe,uncuedProbeCorrect,uncuedButtonCorrect,probeNonCued
images/id031_v1_fm.jpg,images/id018_v1_fm.jpg,images/id048_v1_ff.jpg,images/id068_v1_ff.jpg,images/id018_v1_fm.jpg,scrambles/id027_v1_fm.jpg,scrambles/id016_v1_fm.jpg,scrambles/id066_v1_ff.jpg,scrambles/id054_v1_ff.jpg,FM,FF,1,1,right,>,4,none,,,0
images/id047_v1_ff.jpg,images/id037_v1_ff.jpg,images/id036_v1_ff.jpg,images/id051_v1_ff.jpg,images/id036_v1_ff.jpg,scrambles/id043_v1_ff.jpg,scrambles/id036_v1_ff.jpg,scrambles/id069_v1_ff.jpg,scrambles/id051_v1_ff.jpg,FF,FF,2,1,left,<,4,none,,,0
images/id007_v1_fm.jpg,images/id034_v1_fm.jpg,images/id131_v1_so.jpg,images/id135_v1_so.jpg,images/id011_v1_fm.jpg,scrambles/id011_v1_fm.jpg,scrambles/id031_v1_fm.jpg,scrambles/id131_v1_so.jpg,scrambles/id124_v1_so.jpg,FM,SO,1,0,left,>,4,none,,,0
images/id017_v1_fm.jpg,images/id031_v1_fm.jpg,images/id092_v1_si.jpg,images/id087_v1_si.jpg,images/id017_v1_fm.jpg,scrambles/id032_v1_fm.jpg,scrambles/id033_v1_fm.jpg,scrambles/id077_v1_si.jpg,scrambles/id088_v1_si.jpg,FM,SI,1,1,right,>,4,images/id092_v1_si.jpg,1,right,1
images/id009_v1_fm.jpg,images/id001_v1_fm.jpg,images/id064_v1_ff.jpg,images/id038_v1_ff.jpg,images/id068_v1_ff.jpg,scrambles/id008_v1_fm.jpg,scrambles/id025_v1_fm.jpg,scrambles/id058_v1_ff.jpg,scrambles/id062_v1_ff.jpg,FF,FM,2,0,right,<,4,images/id009_v1_fm.jpg,1,left,1
images/id081_v1_si.jpg,images/id093_v1_si.jpg,images/id002_v1_fm.jpg,images/id029_v1_fm.jpg,images/id099_v1_si.jpg,scrambles/id089_v1_si.jpg,scrambles/id076_v1_si.jpg,scrambles/id030_v1_fm.jpg,scrambles/id005_v1_fm.jpg,SI,FM,1,0,left,>,4,none,,,0
images/id121_v1_so.jpg,images/id118_v1_so.jpg,images/id054_v1_ff.jpg,images/id061_v1_ff.jpg,images/id054_v1_ff.jpg,scrambles/id139_v1_so.jpg,scrambles/id121_v1_so.jpg,scrambles/id051_v1_ff.jpg,scrambles/id042_v1_ff.jpg,FF,SO,2,1,left,<,4,images/id129_v1_so.jpg,0,right,1
images/id123_v1_so.jpg,images/id132_v1_so.jpg,images/id049_v1_ff.jpg,images/id058_v1_ff.jpg,images/id117_v1_so.jpg,scrambles/id110_v1_so.jpg,scrambles/id127_v1_so.jpg,scrambles/id060_v1_ff.jpg,scrambles/id064_v1_ff.jpg,SO,FF,1,0,left,>,4,images/id049_v1_ff.jpg,1,right,1
images/id001_v1_fm.jpg,images/id013_v1_fm.jpg,images/id009_v1_fm.jpg,images/id017_v1_fm.jpg,images/id001_v1_fm.jpg,scrambles/id024_v1_fm.jpg,scrambles/id018_v1_fm.jpg,scrambles/id003_v1_fm.jpg,scrambles/id004_v1_fm.jpg,FM,FM,1,1,right,>,4,none,,,0
images/id055_v1_ff.jpg,images/id066_v1_ff.jpg,images/id090_v1_si.jpg,images/id099_v1_si.jpg,images/id082_v1_si.jpg,scrambles/id041_v1_ff.jpg,scrambles/id048_v1_ff.jpg,scrambles/id074_v1_si.jpg,scrambles/id086_v1_si.jpg,SI,FF,2,0,right,<,4,none,,,0
